ticket_id,title,description,summary,log_entries
de106abe,SQL server availability group failover,SQL server availability group failover,SQL server availability group failover observed. Possible reason: Cluster service instability.,[2025-09-13 16:28] DBA acknowledged the incident. || [2025-09-13 16:41] Investigated system performance counters. || [2025-09-13 16:58] Checked SQL server error logs. || [2025-09-13 17:10] Identified root cause: Cluster service instability. || [2025-09-13 17:20] Applied mitigation step. || [2025-09-13 17:26] Service returned to healthy state.
955f8c35,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck observed. Possible reason: Underlying storage subsystem is slow.,[2025-09-29 16:28] DBA acknowledged the incident. || [2025-09-29 16:37] Investigated system performance counters. || [2025-09-29 16:43] Checked SQL server error logs. || [2025-09-29 16:48] Identified root cause: Underlying storage subsystem is slow. || [2025-09-29 17:07] Applied mitigation step. || [2025-09-29 17:12] Service returned to healthy state.
a9805e15,SQL server memory pressure,SQL server memory pressure,SQL server memory pressure observed. Possible reason: Buffer pool exhaustion due to heavy queries.,[2025-09-12 16:28] DBA acknowledged the incident. || [2025-09-12 16:48] Investigated system performance counters. || [2025-09-12 16:55] Checked SQL server error logs. || [2025-09-12 17:03] Identified root cause: Buffer pool exhaustion due to heavy queries. || [2025-09-12 17:21] Applied mitigation step. || [2025-09-12 17:27] Service returned to healthy state.
93ffd047,SQL server memory pressure,SQL server memory pressure,SQL server memory pressure observed. Possible reason: High concurrent query execution.,[2025-09-20 16:28] DBA acknowledged the incident. || [2025-09-20 16:41] Investigated system performance counters. || [2025-09-20 16:59] Checked SQL server error logs. || [2025-09-20 17:06] Identified root cause: High concurrent query execution. || [2025-09-20 17:23] Applied mitigation step. || [2025-09-20 17:34] Service returned to healthy state.
2243a87a,SQL server deadlocks,SQL server deadlocks,SQL server deadlocks observed. Possible reason: Poor transaction isolation levels.,[2025-09-27 16:28] DBA acknowledged the incident. || [2025-09-27 16:45] Investigated system performance counters. || [2025-09-27 17:05] Checked SQL server error logs. || [2025-09-27 17:15] Identified root cause: Poor transaction isolation levels. || [2025-09-27 17:31] Applied mitigation step. || [2025-09-27 17:44] Service returned to healthy state.
27c39445,SQL server high CPU,SQL server high CPU,SQL server high CPU observed. Possible reason: A bad or inefficient query running too long.,[2025-09-11 16:28] DBA acknowledged the incident. || [2025-09-11 16:46] Investigated system performance counters. || [2025-09-11 16:59] Checked SQL server error logs. || [2025-09-11 17:06] Identified root cause: A bad or inefficient query running too long. || [2025-09-11 17:19] Applied mitigation step. || [2025-09-11 17:25] Service returned to healthy state.
f822f07e,SQL server availability group failover,SQL server availability group failover,SQL server availability group failover observed. Possible reason: Cluster service instability.,[2025-09-15 16:28] DBA acknowledged the incident. || [2025-09-15 16:43] Investigated system performance counters. || [2025-09-15 16:54] Checked SQL server error logs. || [2025-09-15 17:10] Identified root cause: Cluster service instability. || [2025-09-15 17:19] Applied mitigation step. || [2025-09-15 17:33] Service returned to healthy state.
e07b06b2,SQL server db connection,SQL server db connection,"SQL server db connection observed. Possible reason: Listener switch-over happened, DB inaccessible for some time.","[2025-09-21 16:28] DBA acknowledged the incident. || [2025-09-21 16:34] Investigated system performance counters. || [2025-09-21 16:41] Checked SQL server error logs. || [2025-09-21 16:46] Identified root cause: Listener switch-over happened, DB inaccessible for some time. || [2025-09-21 17:00] Applied mitigation step. || [2025-09-21 17:10] Service returned to healthy state."
1e21c4dd,SQL server high CPU,SQL server high CPU,SQL server high CPU observed. Possible reason: More connections than expected hitting the server.,[2025-09-27 16:28] DBA acknowledged the incident. || [2025-09-27 16:33] Investigated system performance counters. || [2025-09-27 16:51] Checked SQL server error logs. || [2025-09-27 16:58] Identified root cause: More connections than expected hitting the server. || [2025-09-27 17:12] Applied mitigation step. || [2025-09-27 17:20] Service returned to healthy state.
303e8029,SQL server deadlocks,SQL server deadlocks,SQL server deadlocks observed. Possible reason: Batch queries holding locks too long.,[2025-09-11 16:28] DBA acknowledged the incident. || [2025-09-11 16:40] Investigated system performance counters. || [2025-09-11 16:54] Checked SQL server error logs. || [2025-09-11 17:07] Identified root cause: Batch queries holding locks too long. || [2025-09-11 17:24] Applied mitigation step. || [2025-09-11 17:30] Service returned to healthy state.
a17e0980,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck observed. Possible reason: Excessive tempdb usage under workload.,[2025-09-06 16:28] DBA acknowledged the incident. || [2025-09-06 16:47] Investigated system performance counters. || [2025-09-06 17:02] Checked SQL server error logs. || [2025-09-06 17:15] Identified root cause: Excessive tempdb usage under workload. || [2025-09-06 17:23] Applied mitigation step. || [2025-09-06 17:35] Service returned to healthy state.
961b6466,SQL server memory pressure,SQL server memory pressure,SQL server memory pressure observed. Possible reason: High concurrent query execution.,[2025-09-06 16:28] DBA acknowledged the incident. || [2025-09-06 16:40] Investigated system performance counters. || [2025-09-06 17:00] Checked SQL server error logs. || [2025-09-06 17:12] Identified root cause: High concurrent query execution. || [2025-09-06 17:31] Applied mitigation step. || [2025-09-06 17:41] Service returned to healthy state.
928d6c1f,SQL server memory pressure,SQL server memory pressure,SQL server memory pressure observed. Possible reason: In-Memory OLTP pressure.,[2025-09-24 16:28] DBA acknowledged the incident. || [2025-09-24 16:36] Investigated system performance counters. || [2025-09-24 16:48] Checked SQL server error logs. || [2025-09-24 16:58] Identified root cause: In-Memory OLTP pressure. || [2025-09-24 17:03] Applied mitigation step. || [2025-09-24 17:09] Service returned to healthy state.
51f7e39a,SQL server db connection,SQL server db connection,SQL server db connection observed. Possible reason: Too many sessions blocking on server.,[2025-09-30 16:28] DBA acknowledged the incident. || [2025-09-30 16:36] Investigated system performance counters. || [2025-09-30 16:56] Checked SQL server error logs. || [2025-09-30 17:10] Identified root cause: Too many sessions blocking on server. || [2025-09-30 17:30] Applied mitigation step. || [2025-09-30 17:40] Service returned to healthy state.
f4fcabb2,SQL server availability group failover,SQL server availability group failover,SQL server availability group failover observed. Possible reason: Cluster service instability.,[2025-09-25 16:28] DBA acknowledged the incident. || [2025-09-25 16:41] Investigated system performance counters. || [2025-09-25 16:46] Checked SQL server error logs. || [2025-09-25 16:58] Identified root cause: Cluster service instability. || [2025-09-25 17:09] Applied mitigation step. || [2025-09-25 17:29] Service returned to healthy state.
71e45cc9,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck observed. Possible reason: Missing indexes leading to full scans.,[2025-09-10 16:28] DBA acknowledged the incident. || [2025-09-10 16:46] Investigated system performance counters. || [2025-09-10 16:53] Checked SQL server error logs. || [2025-09-10 17:02] Identified root cause: Missing indexes leading to full scans. || [2025-09-10 17:14] Applied mitigation step. || [2025-09-10 17:20] Service returned to healthy state.
675e2ea2,SQL server db connection,SQL server db connection,"SQL server db connection observed. Possible reason: The server is low on resources like memory, cpu, io serving etc.","[2025-10-01 16:28] DBA acknowledged the incident. || [2025-10-01 16:43] Investigated system performance counters. || [2025-10-01 17:02] Checked SQL server error logs. || [2025-10-01 17:07] Identified root cause: The server is low on resources like memory, cpu, io serving etc. || [2025-10-01 17:24] Applied mitigation step. || [2025-10-01 17:40] Service returned to healthy state."
10ffc32b,SQL server availability group failover,SQL server availability group failover,SQL server availability group failover observed. Possible reason: Cluster node heartbeat lost.,[2025-09-24 16:28] DBA acknowledged the incident. || [2025-09-24 16:46] Investigated system performance counters. || [2025-09-24 16:52] Checked SQL server error logs. || [2025-09-24 17:03] Identified root cause: Cluster node heartbeat lost. || [2025-09-24 17:18] Applied mitigation step. || [2025-09-24 17:34] Service returned to healthy state.
d00f91a1,SQL server memory pressure,SQL server memory pressure,SQL server memory pressure observed. Possible reason: High concurrent query execution.,[2025-09-12 16:28] DBA acknowledged the incident. || [2025-09-12 16:48] Investigated system performance counters. || [2025-09-12 16:58] Checked SQL server error logs. || [2025-09-12 17:11] Identified root cause: High concurrent query execution. || [2025-09-12 17:31] Applied mitigation step. || [2025-09-12 17:48] Service returned to healthy state.
d458ba43,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck observed. Possible reason: Transaction log growth issue filling disk.,[2025-09-12 16:28] DBA acknowledged the incident. || [2025-09-12 16:47] Investigated system performance counters. || [2025-09-12 16:53] Checked SQL server error logs. || [2025-09-12 17:04] Identified root cause: Transaction log growth issue filling disk. || [2025-09-12 17:10] Applied mitigation step. || [2025-09-12 17:25] Service returned to healthy state.
da98c1e1,SQL server memory pressure,SQL server memory pressure,SQL server memory pressure observed. Possible reason: High concurrent query execution.,[2025-09-25 16:28] DBA acknowledged the incident. || [2025-09-25 16:38] Investigated system performance counters. || [2025-09-25 16:55] Checked SQL server error logs. || [2025-09-25 17:15] Identified root cause: High concurrent query execution. || [2025-09-25 17:20] Applied mitigation step. || [2025-09-25 17:36] Service returned to healthy state.
b23ce9c9,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck observed. Possible reason: Missing indexes leading to full scans.,[2025-09-13 16:28] DBA acknowledged the incident. || [2025-09-13 16:45] Investigated system performance counters. || [2025-09-13 16:50] Checked SQL server error logs. || [2025-09-13 16:55] Identified root cause: Missing indexes leading to full scans. || [2025-09-13 17:13] Applied mitigation step. || [2025-09-13 17:23] Service returned to healthy state.
98f2fa1f,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck observed. Possible reason: Missing indexes leading to full scans.,[2025-09-30 16:28] DBA acknowledged the incident. || [2025-09-30 16:46] Investigated system performance counters. || [2025-09-30 17:06] Checked SQL server error logs. || [2025-09-30 17:24] Identified root cause: Missing indexes leading to full scans. || [2025-09-30 17:32] Applied mitigation step. || [2025-09-30 17:41] Service returned to healthy state.
77911301,SQL server high CPU,SQL server high CPU,SQL server high CPU observed. Possible reason: Index/table scan causing server overhead.,[2025-09-15 16:28] DBA acknowledged the incident. || [2025-09-15 16:48] Investigated system performance counters. || [2025-09-15 17:01] Checked SQL server error logs. || [2025-09-15 17:10] Identified root cause: Index/table scan causing server overhead. || [2025-09-15 17:15] Applied mitigation step. || [2025-09-15 17:35] Service returned to healthy state.
46f90acb,SQL server memory pressure,SQL server memory pressure,SQL server memory pressure observed. Possible reason: Buffer pool exhaustion due to heavy queries.,[2025-09-10 16:28] DBA acknowledged the incident. || [2025-09-10 16:47] Investigated system performance counters. || [2025-09-10 16:55] Checked SQL server error logs. || [2025-09-10 17:13] Identified root cause: Buffer pool exhaustion due to heavy queries. || [2025-09-10 17:23] Applied mitigation step. || [2025-09-10 17:40] Service returned to healthy state.
e508f158,SQL server deadlocks,SQL server deadlocks,SQL server deadlocks observed. Possible reason: Missing indexes causing lock contention.,[2025-09-12 16:28] DBA acknowledged the incident. || [2025-09-12 16:36] Investigated system performance counters. || [2025-09-12 16:44] Checked SQL server error logs. || [2025-09-12 16:51] Identified root cause: Missing indexes causing lock contention. || [2025-09-12 17:06] Applied mitigation step. || [2025-09-12 17:24] Service returned to healthy state.
1cf4ec6c,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck observed. Possible reason: Underlying storage subsystem is slow.,[2025-10-02 16:28] DBA acknowledged the incident. || [2025-10-02 16:33] Investigated system performance counters. || [2025-10-02 16:40] Checked SQL server error logs. || [2025-10-02 16:46] Identified root cause: Underlying storage subsystem is slow. || [2025-10-02 17:01] Applied mitigation step. || [2025-10-02 17:20] Service returned to healthy state.
32dc6275,SQL server availability group failover,SQL server availability group failover,SQL server availability group failover observed. Possible reason: Log send queue high delaying synchronization.,[2025-09-12 16:28] DBA acknowledged the incident. || [2025-09-12 16:41] Investigated system performance counters. || [2025-09-12 16:47] Checked SQL server error logs. || [2025-09-12 16:58] Identified root cause: Log send queue high delaying synchronization. || [2025-09-12 17:12] Applied mitigation step. || [2025-09-12 17:30] Service returned to healthy state.
a6cd0258,SQL server high CPU,SQL server high CPU,SQL server high CPU observed. Possible reason: Index/table scan causing server overhead.,[2025-09-13 16:28] DBA acknowledged the incident. || [2025-09-13 16:35] Investigated system performance counters. || [2025-09-13 16:42] Checked SQL server error logs. || [2025-09-13 17:00] Identified root cause: Index/table scan causing server overhead. || [2025-09-13 17:15] Applied mitigation step. || [2025-09-13 17:34] Service returned to healthy state.
ad187756,SQL server high CPU,SQL server high CPU,SQL server high CPU observed. Possible reason: A bad or inefficient query running too long.,[2025-09-28 16:28] DBA acknowledged the incident. || [2025-09-28 16:45] Investigated system performance counters. || [2025-09-28 16:51] Checked SQL server error logs. || [2025-09-28 17:02] Identified root cause: A bad or inefficient query running too long. || [2025-09-28 17:22] Applied mitigation step. || [2025-09-28 17:37] Service returned to healthy state.
104ba77f,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck observed. Possible reason: Excessive tempdb usage under workload.,[2025-09-27 16:28] DBA acknowledged the incident. || [2025-09-27 16:39] Investigated system performance counters. || [2025-09-27 16:54] Checked SQL server error logs. || [2025-09-27 17:03] Identified root cause: Excessive tempdb usage under workload. || [2025-09-27 17:22] Applied mitigation step. || [2025-09-27 17:38] Service returned to healthy state.
007fc62e,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck observed. Possible reason: Excessive tempdb usage under workload.,[2025-09-20 16:28] DBA acknowledged the incident. || [2025-09-20 16:39] Investigated system performance counters. || [2025-09-20 16:47] Checked SQL server error logs. || [2025-09-20 17:05] Identified root cause: Excessive tempdb usage under workload. || [2025-09-20 17:12] Applied mitigation step. || [2025-09-20 17:22] Service returned to healthy state.
ecd7c90c,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck observed. Possible reason: Underlying storage subsystem is slow.,[2025-09-20 16:28] DBA acknowledged the incident. || [2025-09-20 16:42] Investigated system performance counters. || [2025-09-20 17:00] Checked SQL server error logs. || [2025-09-20 17:06] Identified root cause: Underlying storage subsystem is slow. || [2025-09-20 17:16] Applied mitigation step. || [2025-09-20 17:35] Service returned to healthy state.
53f71171,SQL server availability group failover,SQL server availability group failover,SQL server availability group failover observed. Possible reason: Cluster node heartbeat lost.,[2025-09-07 16:28] DBA acknowledged the incident. || [2025-09-07 16:48] Investigated system performance counters. || [2025-09-07 17:08] Checked SQL server error logs. || [2025-09-07 17:14] Identified root cause: Cluster node heartbeat lost. || [2025-09-07 17:28] Applied mitigation step. || [2025-09-07 17:47] Service returned to healthy state.
e1a6a232,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck,SQL server disk I/O bottleneck observed. Possible reason: Excessive tempdb usage under workload.,[2025-09-09 16:28] DBA acknowledged the incident. || [2025-09-09 16:37] Investigated system performance counters. || [2025-09-09 16:55] Checked SQL server error logs. || [2025-09-09 17:10] Identified root cause: Excessive tempdb usage under workload. || [2025-09-09 17:18] Applied mitigation step. || [2025-09-09 17:36] Service returned to healthy state.
538e1ebf,SQL server memory pressure,SQL server memory pressure,SQL server memory pressure observed. Possible reason: Query execution plans consuming excessive memory.,[2025-09-10 16:28] DBA acknowledged the incident. || [2025-09-10 16:33] Investigated system performance counters. || [2025-09-10 16:40] Checked SQL server error logs. || [2025-09-10 16:48] Identified root cause: Query execution plans consuming excessive memory. || [2025-09-10 16:58] Applied mitigation step. || [2025-09-10 17:08] Service returned to healthy state.
a2dcab58,SQL server availability group failover,SQL server availability group failover,SQL server availability group failover observed. Possible reason: Cluster node heartbeat lost.,[2025-09-25 16:28] DBA acknowledged the incident. || [2025-09-25 16:36] Investigated system performance counters. || [2025-09-25 16:49] Checked SQL server error logs. || [2025-09-25 17:07] Identified root cause: Cluster node heartbeat lost. || [2025-09-25 17:14] Applied mitigation step. || [2025-09-25 17:28] Service returned to healthy state.
f8aa9c41,SQL server deadlocks,SQL server deadlocks,SQL server deadlocks observed. Possible reason: Application logic causing circular locking.,[2025-09-15 16:28] DBA acknowledged the incident. || [2025-09-15 16:35] Investigated system performance counters. || [2025-09-15 16:52] Checked SQL server error logs. || [2025-09-15 17:06] Identified root cause: Application logic causing circular locking. || [2025-09-15 17:25] Applied mitigation step. || [2025-09-15 17:32] Service returned to healthy state.
6058340a,SQL server availability group failover,SQL server availability group failover,SQL server availability group failover observed. Possible reason: Cluster service instability.,[2025-09-20 16:28] DBA acknowledged the incident. || [2025-09-20 16:34] Investigated system performance counters. || [2025-09-20 16:47] Checked SQL server error logs. || [2025-09-20 16:58] Identified root cause: Cluster service instability. || [2025-09-20 17:15] Applied mitigation step. || [2025-09-20 17:30] Service returned to healthy state.
c918f6f1,SQL server memory pressure,SQL server memory pressure,SQL server memory pressure observed. Possible reason: Query execution plans consuming excessive memory.,[2025-09-22 16:28] DBA acknowledged the incident. || [2025-09-22 16:40] Investigated system performance counters. || [2025-09-22 17:00] Checked SQL server error logs. || [2025-09-22 17:13] Identified root cause: Query execution plans consuming excessive memory. || [2025-09-22 17:29] Applied mitigation step. || [2025-09-22 17:49] Service returned to healthy state.
8b13eadf,SQL server memory pressure,SQL server memory pressure,SQL server memory pressure observed. Possible reason: High concurrent query execution.,[2025-09-19 16:28] DBA acknowledged the incident. || [2025-09-19 16:36] Investigated system performance counters. || [2025-09-19 16:53] Checked SQL server error logs. || [2025-09-19 17:11] Identified root cause: High concurrent query execution. || [2025-09-19 17:16] Applied mitigation step. || [2025-09-19 17:28] Service returned to healthy state.
98db2f1b,SQL server deadlocks,SQL server deadlocks,SQL server deadlocks observed. Possible reason: Missing indexes causing lock contention.,[2025-10-01 16:28] DBA acknowledged the incident. || [2025-10-01 16:38] Investigated system performance counters. || [2025-10-01 16:55] Checked SQL server error logs. || [2025-10-01 17:09] Identified root cause: Missing indexes causing lock contention. || [2025-10-01 17:22] Applied mitigation step. || [2025-10-01 17:31] Service returned to healthy state.
0e707cb6,SQL server high CPU,SQL server high CPU,SQL server high CPU observed. Possible reason: Index/table scan causing server overhead.,[2025-09-16 16:28] DBA acknowledged the incident. || [2025-09-16 16:33] Investigated system performance counters. || [2025-09-16 16:38] Checked SQL server error logs. || [2025-09-16 16:51] Identified root cause: Index/table scan causing server overhead. || [2025-09-16 17:07] Applied mitigation step. || [2025-09-16 17:21] Service returned to healthy state.
9f0adbf2,SQL server db connection,SQL server db connection,SQL server db connection observed. Possible reason: Too many sessions blocking on server.,[2025-09-26 16:28] DBA acknowledged the incident. || [2025-09-26 16:37] Investigated system performance counters. || [2025-09-26 16:48] Checked SQL server error logs. || [2025-09-26 17:07] Identified root cause: Too many sessions blocking on server. || [2025-09-26 17:20] Applied mitigation step. || [2025-09-26 17:40] Service returned to healthy state.
cc01ce34,SQL server high CPU,SQL server high CPU,SQL server high CPU observed. Possible reason: Queries returning too many rows causing overload.,[2025-10-01 16:28] DBA acknowledged the incident. || [2025-10-01 16:35] Investigated system performance counters. || [2025-10-01 16:41] Checked SQL server error logs. || [2025-10-01 16:54] Identified root cause: Queries returning too many rows causing overload. || [2025-10-01 17:07] Applied mitigation step. || [2025-10-01 17:21] Service returned to healthy state.
f1d389ec,SQL server availability group failover,SQL server availability group failover,SQL server availability group failover observed. Possible reason: Automatic failover triggered.,[2025-09-30 16:28] DBA acknowledged the incident. || [2025-09-30 16:33] Investigated system performance counters. || [2025-09-30 16:48] Checked SQL server error logs. || [2025-09-30 16:55] Identified root cause: Automatic failover triggered. || [2025-09-30 17:12] Applied mitigation step. || [2025-09-30 17:26] Service returned to healthy state.
05e5ec5b,SQL server deadlocks,SQL server deadlocks,SQL server deadlocks observed. Possible reason: Missing indexes causing lock contention.,[2025-09-09 16:28] DBA acknowledged the incident. || [2025-09-09 16:45] Investigated system performance counters. || [2025-09-09 17:04] Checked SQL server error logs. || [2025-09-09 17:22] Identified root cause: Missing indexes causing lock contention. || [2025-09-09 17:31] Applied mitigation step. || [2025-09-09 17:41] Service returned to healthy state.
535bfdb1,SQL server memory pressure,SQL server memory pressure,SQL server memory pressure observed. Possible reason: Query execution plans consuming excessive memory.,[2025-10-02 16:28] DBA acknowledged the incident. || [2025-10-02 16:37] Investigated system performance counters. || [2025-10-02 16:53] Checked SQL server error logs. || [2025-10-02 16:58] Identified root cause: Query execution plans consuming excessive memory. || [2025-10-02 17:04] Applied mitigation step. || [2025-10-02 17:17] Service returned to healthy state.
19abea9e,SQL server availability group failover,SQL server availability group failover,SQL server availability group failover observed. Possible reason: Cluster node heartbeat lost.,[2025-09-07 16:28] DBA acknowledged the incident. || [2025-09-07 16:45] Investigated system performance counters. || [2025-09-07 17:00] Checked SQL server error logs. || [2025-09-07 17:20] Identified root cause: Cluster node heartbeat lost. || [2025-09-07 17:37] Applied mitigation step. || [2025-09-07 17:47] Service returned to healthy state.
08928b53,SQL server availability group failover,SQL server availability group failover,SQL server availability group failover observed. Possible reason: Cluster node heartbeat lost.,[2025-09-10 16:28] DBA acknowledged the incident. || [2025-09-10 16:45] Investigated system performance counters. || [2025-09-10 16:50] Checked SQL server error logs. || [2025-09-10 17:07] Identified root cause: Cluster node heartbeat lost. || [2025-09-10 17:15] Applied mitigation step. || [2025-09-10 17:28] Service returned to healthy state.
b04f96a2,SQL server memory pressure,SQL server memory pressure,SQL server memory pressure observed. Possible reason: Query execution plans consuming excessive memory.,[2025-09-29 16:28] DBA acknowledged the incident. || [2025-09-29 16:47] Investigated system performance counters. || [2025-09-29 17:04] Checked SQL server error logs. || [2025-09-29 17:13] Identified root cause: Query execution plans consuming excessive memory. || [2025-09-29 17:20] Applied mitigation step. || [2025-09-29 17:39] Service returned to healthy state.
9befb82a,SQL server deadlocks,SQL server deadlocks,SQL server deadlocks observed. Possible reason: Poor transaction isolation levels.,[2025-09-14 16:28] DBA acknowledged the incident. || [2025-09-14 16:42] Investigated system performance counters. || [2025-09-14 16:54] Checked SQL server error logs. || [2025-09-14 17:05] Identified root cause: Poor transaction isolation levels. || [2025-09-14 17:16] Applied mitigation step. || [2025-09-14 17:32] Service returned to healthy state.
ad8b8a30,SQL server availability group failover,SQL server availability group failover,SQL server availability group failover observed. Possible reason: Cluster node heartbeat lost.,[2025-09-08 16:28] DBA acknowledged the incident. || [2025-09-08 16:36] Investigated system performance counters. || [2025-09-08 16:43] Checked SQL server error logs. || [2025-09-08 16:54] Identified root cause: Cluster node heartbeat lost. || [2025-09-08 17:02] Applied mitigation step. || [2025-09-08 17:18] Service returned to healthy state.
00e87c34,SQL server deadlocks,SQL server deadlocks,SQL server deadlocks observed. Possible reason: Application logic causing circular locking.,[2025-09-27 16:28] DBA acknowledged the incident. || [2025-09-27 16:34] Investigated system performance counters. || [2025-09-27 16:53] Checked SQL server error logs. || [2025-09-27 17:01] Identified root cause: Application logic causing circular locking. || [2025-09-27 17:11] Applied mitigation step. || [2025-09-27 17:29] Service returned to healthy state.
